dest_ip,dest_port,dest_country,metadata_file
46.105.105.223,35749,France,socks4.txt
51.75.126.150,3307,France,socks4.txt
131.108.112.222,4153,Brazil,socks4.txt
46.105.105.223,43853,France,socks4.txt
5.58.33.187,5678,Ukraine,socks4.txt
93.117.72.27,55770,Moldova,socks4.txt
111.68.127.170,4153,Indonesia,socks4.txt
205.177.85.130,39593,Japan,socks4.txt
31.169.65.90,1080,T�rkiye,socks4.txt
103.17.90.6,5678,Vietnam,socks4.txt
27.147.148.182,10888,Bangladesh,socks4.txt
104.244.74.206,38118,Luxembourg,socks4.txt
186.211.6.137,4145,Brazil,socks4.txt
103.81.117.225,4153,India,socks4.txt
195.140.226.32,5678,Ukraine,socks4.txt
27.254.67.114,50729,Thailand,socks4.txt
46.105.105.223,16480,France,socks4.txt
91.121.173.38,23881,France,socks4.txt
103.229.83.106,6789,Bangladesh,socks4.txt
91.187.121.211,2080,Kosovo,socks4.txt
202.21.114.134,4153,Mongolia,socks4.txt
212.220.13.98,4153,Russia,socks4.txt
46.8.48.143,1080,Russia,socks4.txt
212.103.118.77,5678,Russia,socks4.txt
74.56.228.180,4145,Canada,socks4.txt
203.205.34.58,5678,Vietnam,socks4.txt
213.248.39.166,4153,Russia,socks4.txt
45.79.203.254,48388,United States,socks4.txt
192.95.33.162,36749,Canada,socks4.txt
46.105.105.223,55303,France,socks4.txt
178.32.202.54,52638,France,socks4.txt
192.95.33.162,38793,Canada,socks4.txt
51.75.126.150,59091,France,socks4.txt
82.223.165.28,38245,Spain,socks4.txt
82.223.165.28,13238,Spain,socks4.txt
54.36.176.100,53968,France,socks4.txt
54.36.176.100,10231,France,socks4.txt
115.75.160.196,5678,Vietnam,socks4.txt
216.68.128.121,4145,United States,socks4.txt
75.41.145.46,5678,United States,socks4.txt
125.228.143.207,4145,Taiwan,socks4.txt
201.234.24.89,4153,Argentina,socks4.txt
176.118.232.12,5678,Russia,socks4.txt
27.254.67.114,37328,Thailand,socks4.txt
192.95.33.162,8296,Canada,socks4.txt
203.174.15.50,60606,Indonesia,socks4.txt
203.190.8.35,7593,Bangladesh,socks4.txt
54.36.176.100,39188,France,socks4.txt
178.32.202.54,53968,France,socks4.txt
178.32.202.54,41611,France,socks4.txt
46.105.105.223,63425,France,socks4.txt
177.85.65.177,4153,Brazil,socks4.txt
195.74.72.111,5678,Ukraine,socks4.txt
190.104.8.142,14888,Bolivia,socks4.txt
103.86.135.34,5678,Pakistan,socks4.txt
51.75.126.150,1964,France,socks4.txt
51.75.126.150,2184,France,socks4.txt
178.32.202.54,45704,France,socks4.txt
54.36.176.100,45704,France,socks4.txt
51.75.126.150,9676,France,socks4.txt
51.75.126.150,9532,France,socks4.txt
72.211.46.124,4145,United States,socks4.txt
97.83.40.67,5678,United States,socks4.txt
54.36.176.100,26045,France,socks4.txt
51.75.126.150,12202,France,socks4.txt
192.95.33.162,37594,Canada,socks4.txt
54.36.176.100,49280,France,socks4.txt
54.36.176.100,48169,France,socks4.txt
178.32.202.54,12550,France,socks4.txt
